text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude
Marc van de Klashorst hits the road with the phenomenal Frances McDormand in Chloé Zhao's intimate NOMADLAND, a fil… https://t.co/ovKvK1jDBh;FALSE;10;;2020-09-11 22:51:15;TRUE;;1304553117669883908;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;ICSfilm;6;FALSE;FALSE;;
RT @robbiereviews: It’s the penultimate night of Venice 2020 and Chloé Zhao has just blown the roof off the Palazzo del Cinema with her out…;FALSE;0;;2020-09-11 22:45:56;FALSE;;1304551779540103169;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;planerva;9;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 22:43:34;FALSE;;1304551183961468930;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;nargiz_mammadli;42;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 @ma_silvestre and @alexdelaIglesia pose on the red carpet of #30Coins https://t.co/ax2tbcJh…;FALSE;0;;2020-09-11 22:41:27;FALSE;;1304550650567680003;;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;Checco_01;9;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 22:40:59;FALSE;;1304550535983398913;;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;Checco_01;42;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 #Competition Today's screening of #Nomadland (@nomadlandfilm) by #ChloéZhao (7 pm, Sala Gra…;FALSE;0;;2020-09-11 22:40:43;FALSE;;1304550469101027329;;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;Checco_01;9;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 @alexdelaIglesia: “I’ve always been obsessed with horror and the concept of evil, especiall…;FALSE;0;;2020-09-11 22:39:56;FALSE;;1304550269448073216;;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;Checco_01;9;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 #PaoloConteViaConMe @gioverdelli: “The world of #PaoloConte (@Conte_Official) is so rich. H…;FALSE;0;;2020-09-11 22:39:50;FALSE;;1304550243191730176;;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;Checco_01;12;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 #CrazyNotInsane @alexgibneyfilm : “I think evilness is not a useful concept. Human beings a…;FALSE;0;;2020-09-11 22:39:32;FALSE;;1304550170693115906;;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;Checco_01;4;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 #CrazyNotInsane @alexgibneyfilm: “I started reflecting on craziness and its association wit…;FALSE;0;;2020-09-11 22:39:28;FALSE;;1304550153710379009;;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;Checco_01;3;TRUE;FALSE;;
